"Count of Are you happy with what your program provides you with (i.e. courses, job opportunities, projects, etc.)",Column Labels,,
Row Labels,Management Engineering,Systems Design Engineering,Grand Total
Architecture (i.e. Designing a building taller than the CN Tower);Automotive (i.e. Designing a new autonomous car);Business (i.e. Starting your own consulting company);Construction (i.e. Building a smart city),1,,1
Architecture (i.e. Designing a building taller than the CN Tower);Automotive (i.e. Designing a new autonomous car);Business (i.e. Starting your own consulting company);Construction (i.e. Building a smart city);Health (i.e. Creating technology for minimally invasive surgeries);Environment (i.e. Producing energy in sustainable ways),,1,1
Architecture (i.e. Designing a building taller than the CN Tower);Automotive (i.e. Designing a new autonomous car);Business (i.e. Starting your own consulting company);Health (i.e. Creating technology for minimally invasive surgeries);Manufacturing (i.e. Optimization or automation of manufacturing processes);Technology (i.e. Working with cloud based software),1,,1
Architecture (i.e. Designing a building taller than the CN Tower);Automotive (i.e. Designing a new autonomous car);Construction (i.e. Building a smart city);Environment (i.e. Producing energy in sustainable ways);Manufacturing (i.e. Optimization or automation of manufacturing processes);Technology (i.e. Working with cloud based software),,1,1
Architecture (i.e. Designing a building taller than the CN Tower);Automotive (i.e. Designing a new autonomous car);Health (i.e. Creating technology for minimally invasive surgeries);Manufacturing (i.e. Optimization or automation of manufacturing processes);Technology (i.e. Working with cloud based software),1,,1
Architecture (i.e. Designing a building taller than the CN Tower);Automotive (i.e. Designing a new autonomous car);Technology (i.e. Working with cloud based software),,1,1
Architecture (i.e. Designing a building taller than the CN Tower);Business (i.e. Starting your own consulting company);Construction (i.e. Building a smart city);Technology (i.e. Working with cloud based software),1,,1
Architecture (i.e. Designing a building taller than the CN Tower);Environment (i.e. Producing energy in sustainable ways);Technology (i.e. Working with cloud based software),,1,1
Architecture (i.e. Designing a building taller than the CN Tower);Technology (i.e. Working with cloud based software),,1,1
Automotive (i.e. Designing a new autonomous car);Business (i.e. Starting your own consulting company);Construction (i.e. Building a smart city);Environment (i.e. Producing energy in sustainable ways);Technology (i.e. Working with cloud based software),,1,1
Automotive (i.e. Designing a new autonomous car);Business (i.e. Starting your own consulting company);Environment (i.e. Producing energy in sustainable ways);Manufacturing (i.e. Optimization or automation of manufacturing processes);Technology (i.e. Working with cloud based software),1,,1
Automotive (i.e. Designing a new autonomous car);Business (i.e. Starting your own consulting company);Health (i.e. Creating technology for minimally invasive surgeries);Environment (i.e. Producing energy in sustainable ways);Technology (i.e. Working with cloud based software),1,2,3
Automotive (i.e. Designing a new autonomous car);Business (i.e. Starting your own consulting company);Health (i.e. Creating technology for minimally invasive surgeries);Manufacturing (i.e. Optimization or automation of manufacturing processes);Technology (i.e. Working with cloud based software),1,,1
Automotive (i.e. Designing a new autonomous car);Construction (i.e. Building a smart city);Health (i.e. Creating technology for minimally invasive surgeries);Environment (i.e. Producing energy in sustainable ways),,1,1
