Timestamp,What program are you in currently?,Gender,What year are you in?,Are you happy with your program?,1. What field interests you the most?,2. I would like to have been part of the team that was responsible for:,3. Who would be your dream professor?,4. I would enjoy working...,5. An ideal outfit to wear to work would be:,"6. When you start work, ideally you would want to...",7. I would rather design something that...,8. I would rather analyze...,9. I would rather gather information for solving a problem...,10. I prefer to...,11. I would rather work as part of a...,12. When working on a project would you rather,13. What cause do you care about the most?,14. When setting goals for yourself you find yourself thinking about...,15. You are most likely to eavesdrop in a conversation regarding,16. What subject would you like to develop your skills in?,"17. In an ideal setting, you are working with:",18. Would you prefer to be the leader on a team?
2016/11/07 12:48:04 PM EST,Biomedical Engineering,Male,1,Yes,Research,Penicillin,"Elon Musk, Founder of Tesla",In an office,Business Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Test results,By talking to the people who use the system,Talk,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,One year from now,A microchip that is smaller than usual but twice as powerful as before,Technology,Business Processes,Yes
2016/11/07 12:49:53 PM EST,Biomedical Engineering,Female,2,Yes,Software Development,Penicillin,"Elon Musk, Founder of Tesla",In the outdoors,Business Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Graphs and charts,By analyzing the design and implementation of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,A week from now,A factory that is able to 100% rely on robotics while producing no defected products,Life Science,People,No
2016/11/07 1:08:48 PM EST,Biomedical Engineering,Male,1,Yes,Research,Penicillin,"Elon Musk, Founder of Tesla",In a laboratory,Formal,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the design and implementation of the system,Talk,Multidisciplinary team,Continuously change and update requirements as you go,Health,Five years from now,A microchip that is smaller than usual but twice as powerful as before,Life Science,People,Yes
2016/11/07 1:46:16 PM EST,Biomedical Engineering,Female,1,Yes,Research,Penicillin,"David Suzuki, Environmental Activist",In a laboratory,Business Casual,Work for a large corporation,I can see function and tangibly touch the parts,Graphs and charts,By analyzing the design and implementation of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,Five years from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Life Science,People,Yes
2016/11/07 1:52:19 PM EST,Biomedical Engineering,Female,2,Yes,Research,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Business Casual,Work for a large corporation,I can see function and tangibly touch the parts,Test results,By analyzing the internal components of the system,Read,Multidisciplinary team,Continuously change and update requirements as you go,Health,Five years from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Life Science,People,Yes
2016/11/07 1:58:19 PM EST,Biomedical Engineering,Male,2,Yes,Software Development,Penicillin,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Blue prints and design drawings,By analyzing the design and implementation of the system,Write,Focused team,Continuously change and update requirements as you go,Health,One year from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Technology,Computers,No
2016/11/07 2:18:27 PM EST,Biomedical Engineering,Male,2,Yes,Manufacturing,The Automobile,"Elon Musk, Founder of Tesla",In the outdoors,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By talking to the people who use the system,Write,Focused team,Know all the requirements for the project at the beginning,Health,A week from now,A factory that is able to 100% rely on robotics while producing no defected products,Math,Machinery,No
2016/11/07 2:43:54 PM EST,Biomedical Engineering,Male,2,Yes,Software Development,The Internet,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the design and implementation of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,One year from now,A microchip that is smaller than usual but twice as powerful as before,Technology,Computers,Yes
2016/11/07 3:05:35 PM EST,Biomedical Engineering,Male,2,Yes,Research,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Protective Clothing,Work for a small company,I can see function and tangibly touch the parts,Test results,By analyzing the design and implementation of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,Five years from now,A factory that is able to 100% rely on robotics while producing no defected products,Life Science,Computers,No
2016/11/07 3:18:05 PM EST,Biomedical Engineering,Female,2,Yes,Research,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Business Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Test results,By talking to the people who use the system,Listen,Multidisciplinary team,Continuously change and update requirements as you go,Health,A week from now,A microchip that is smaller than usual but twice as powerful as before,Physics,People,No
2016/11/07 3:37:16 PM EST,Biomedical Engineering,Female,2,Yes,Research,The Robot,"Mark Zuckerberg, Founder of Facebook",In an office,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,One year from now,A microchip that is smaller than usual but twice as powerful as before,Technology,People,Yes
2016/11/07 3:51:52 PM EST,Biomedical Engineering,Male,1,Yes,Research,Penicillin,"Elon Musk, Founder of Tesla",In a laboratory,Business Casual,Work in a start up,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Talk,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,One year from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Life Science,People,Yes
2016/11/07 4:08:18 PM EST,Biomedical Engineering,Male,1,Yes,Research,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Test results,By analyzing the design and implementation of the system,Listen,Multidisciplinary team,Continuously change and update requirements as you go,Health,Five years from now,A microchip that is smaller than usual but twice as powerful as before,Life Science,People,Yes
2016/11/07 4:16:13 PM EST,Biomedical Engineering,Male,3,Yes,Research,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Protective Clothing,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the inputs and outputs of the system,Listen,Multidisciplinary team,Continuously change and update requirements as you go,Health,Five years from now,A microchip that is smaller than usual but twice as powerful as before,Physics,People,Yes
2016/11/07 4:21:31 PM EST,Biomedical Engineering,Female,2,Yes,Research,Solar Panels,"Elon Musk, Founder of Tesla",In a laboratory,Business Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the inputs and outputs of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,One year from now,A microchip that is smaller than usual but twice as powerful as before,Technology,People,No
2016/11/07 4:35:41 PM EST,Biomedical Engineering,Female,2,Yes,Manufacturing,The Robot,"Elon Musk, Founder of Tesla",In an office,Business Casual,Work in a start up,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Talk,Multidisciplinary team,Continuously change and update requirements as you go,Health,One year from now,A factory that is able to 100% rely on robotics while producing no defected products,Physics,People,Yes
2016/11/07 4:41:41 PM EST,Biomedical Engineering,Male,2,Yes,Software Development,Penicillin,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the design and implementation of the system,Write,Focused team,Continuously change and update requirements as you go,Health,A week from now,A factory that is able to 100% rely on robotics while producing no defected products,Technology,Business Processes,Yes
2016/11/07 5:00:33 PM EST,Biomedical Engineering,Male,2,Yes,Research,Penicillin,"Elon Musk, Founder of Tesla",In a laboratory,Protective Clothing,Work for a large corporation,I can see function and tangibly touch the parts,Test results,By analyzing the internal components of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,Five years from now,A microchip that is smaller than usual but twice as powerful as before,Life Science,People,Yes
2016/11/07 5:33:51 PM EST,Biomedical Engineering,Female,3,Yes,Manufacturing,Penicillin,"Elon Musk, Founder of Tesla",In a manufacturing facility,Business Casual,Work for a large corporation,I can see function and tangibly touch the parts,Graphs and charts,By analyzing the design and implementation of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,Five years from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Physics,People,No
2016/11/07 5:58:26 PM EST,Biomedical Engineering,Male,1,Yes,Research,Penicillin,"Elon Musk, Founder of Tesla",In a laboratory,Formal,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Graphs and charts,By analyzing the inputs and outputs of the system,Read,Focused team,Know all the requirements for the project at the beginning,Health,A week from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Math,People,No
2016/11/07 7:09:48 PM EST,Biomedical Engineering,Female,1,Yes,Research,Penicillin,"Mark Zuckerberg, Founder of Facebook",In a laboratory,Extremely Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the inputs and outputs of the system,Write,Focused team,Continuously change and update requirements as you go,Health,Five years from now,A microchip that is smaller than usual but twice as powerful as before,Math,People,Yes
2016/11/07 9:22:20 PM EST,Biomedical Engineering,Male,1,Yes,Research,The Robot,"Elon Musk, Founder of Tesla",In a manufacturing facility,Business Casual,Work for a large corporation,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Read,Focused team,Continuously change and update requirements as you go,Health,Five years from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Technology,People,No
2016/11/07 9:43:18 PM EST,Biomedical Engineering,Female,3,Yes,Research,The Robot,"Elon Musk, Founder of Tesla",In an office,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By talking to the people who use the system,Talk,Focused team,Continuously change and update requirements as you go,Health,One year from now,A factory that is able to 100% rely on robotics while producing no defected products,Life Science,People,Yes
2016/11/07 10:06:44 PM EST,Biomedical Engineering,Female,2,Yes,Manufacturing,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In the outdoors,Extremely Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Write,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,Today,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Technology,People,No
2016/11/07 10:16:56 PM EST,Biomedical Engineering,Female,1,Yes,Research,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Business Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the design and implementation of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,One year from now,A factory that is able to 100% rely on robotics while producing no defected products,Life Science,People,No
2016/11/07 10:20:42 PM EST,Biomedical Engineering,Male,3,Yes,Research,The Robot,"Elon Musk, Founder of Tesla",In an office,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the internal components of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,One year from now,A microchip that is smaller than usual but twice as powerful as before,Technology,Computers,No
2016/11/07 10:56:10 PM EST,Biomedical Engineering,Female,1,Yes,Research,Solar Panels,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Protective Clothing,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the design and implementation of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,One year from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Technology,People,Yes
2016/11/08 10:23:49 AM EST,Biomedical Engineering,Female,1,Yes,Research,Penicillin,"Elon Musk, Founder of Tesla",In a laboratory,Business Casual,Work in a start up,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Talk,Multidisciplinary team,Continuously change and update requirements as you go,Health,One year from now,A microchip that is smaller than usual but twice as powerful as before,Technology,People,Yes
2016/11/08 3:13:43 PM EST,Biomedical Engineering,Female,1,Yes,Research,The Robot,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Business Casual,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the design and implementation of the system,Read,Multidisciplinary team,Continuously change and update requirements as you go,Health,One year from now,A microchip that is smaller than usual but twice as powerful as before,Life Science,People,Yes
2016/11/08 7:16:33 PM EST,Biomedical Engineering,Female,3,Yes,Software Development,The Robot,"Mark Zuckerberg, Founder of Facebook",In an office,Business Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the internal components of the system,Read,Focused team,Know all the requirements for the project at the beginning,Health,A week from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Technology,Computers,No
2016/11/09 3:05:07 PM EST,Biomedical Engineering,Female,3,Yes,Research,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Business Casual,Work in a start up,I can see function and tangibly touch the parts,Blue prints and design drawings,By talking to the people who use the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,A week from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Technology,Machinery,Yes
2016/11/11 10:51:44 AM EST,Biomedical Engineering,Male,1,Yes,Research,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Formal,Work for a small company,I can see function and tangibly touch the parts,Graphs and charts,By analyzing the internal components of the system,Listen,Multidisciplinary team,Continuously change and update requirements as you go,Health,Five years from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Math,People,No
2016/11/11 10:52:41 AM EST,Biomedical Engineering,Male,1,Yes,Research,The Internet,"Warren Buffett, Billionaire American Business Men",In the outdoors,Business Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the internal components of the system,Talk,Focused team,Know all the requirements for the project at the beginning,Health,A week from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Physics,People,Yes
2016/11/11 11:17:56 AM EST,Biomedical Engineering,Female,1,Yes,Research,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Business Casual,Work for a large corporation,I can see function and tangibly touch the parts,Test results,By analyzing the design and implementation of the system,Listen,Focused team,Know all the requirements for the project at the beginning,Health,Five years from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Life Science,People,Yes
2016/11/11 12:01:38 PM EST,Biomedical Engineering,Female,1,Yes,Research,Penicillin,"David Suzuki, Environmental Activist",In a laboratory,Business Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Blue prints and design drawings,By analyzing the design and implementation of the system,Listen,Focused team,Continuously change and update requirements as you go,Health,One year from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Life Science,People,No
2016/11/11 9:11:42 PM EST,Biomedical Engineering,Male,1,Yes,Manufacturing,The Automobile,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Formal,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Blue prints and design drawings,By talking to the people who use the system,Talk,Multidisciplinary team,Continuously change and update requirements as you go,Health,Five years from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Life Science,People,Yes
2016/11/07 11:49:14 AM EST,Chemical Engineering,Female,3,Yes,Research,Penicillin,"David Suzuki, Environmental Activist",In a laboratory,Extremely Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the inputs and outputs of the system,Write,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,Five years from now,A factory that is able to 100% rely on robotics while producing no defected products,Life Science,Computers,Yes
2016/11/07 11:53:53 AM EST,Chemical Engineering,Female,3,Yes,Manufacturing,Solar Panels,"Elon Musk, Founder of Tesla",In a manufacturing facility,Business Casual,Work for a large corporation,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the inputs and outputs of the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A week from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Life Science,People,Yes
2016/11/07 11:57:39 AM EST,Chemical Engineering,Female,2,Yes,Manufacturing,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In an office,Business Casual,Work for a large corporation,I can see function and tangibly touch the parts,Test results,By analyzing the inputs and outputs of the system,Talk,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,Five years from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Life Science,People,Yes
2016/11/07 11:58:50 AM EST,Chemical Engineering,Male,1,Yes,Research,Solar Panels,"Elon Musk, Founder of Tesla",In a laboratory,Business Casual,Work in a start up,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the design and implementation of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,One year from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Physics,People,Yes
2016/11/07 12:00:13 PM EST,Chemical Engineering,Male,2,Yes,Research,Penicillin,"David Suzuki, Environmental Activist",In a manufacturing facility,Extremely Casual,Work for a small company,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the inputs and outputs of the system,Talk,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,Five years from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Math,People,Yes
2016/11/07 12:09:09 PM EST,Chemical Engineering,Female,2,Yes,Manufacturing,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In an office,Formal,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Graphs and charts,By talking to the people who use the system,Write,Multidisciplinary team,Continuously change and update requirements as you go,Human Rights,Five years from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Life Science,People,Yes
2016/11/07 12:16:28 PM EST,Chemical Engineering,Female,2,Yes,Manufacturing,Solar Panels,"Elon Musk, Founder of Tesla",In a laboratory,Business Casual,Work for a small company,I can see function and tangibly touch the parts,Test results,By analyzing the internal components of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,One year from now,A factory that is able to 100% rely on robotics while producing no defected products,Technology,People,Yes
2016/11/07 12:22:49 PM EST,Chemical Engineering,Female,2,Yes,Research,Penicillin,"David Suzuki, Environmental Activist",In a laboratory,Extremely Casual,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Test results,By talking to the people who use the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,One year from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Life Science,People,Yes
2016/11/07 12:56:47 PM EST,Chemical Engineering,Male,3,Yes,Manufacturing,Solar Panels,"Elon Musk, Founder of Tesla",In a manufacturing facility,Extremely Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Graphs and charts,By analyzing the inputs and outputs of the system,Listen,Multidisciplinary team,Continuously change and update requirements as you go,Environment,One year from now,A factory that is able to 100% rely on robotics while producing no defected products,Math,People,Yes
2016/11/07 12:59:15 PM EST,Chemical Engineering,Female,3,Yes,Research,Penicillin,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Extremely Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Test results,By analyzing the design and implementation of the system,Read,Focused team,Know all the requirements for the project at the beginning,Environment,One year from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Technology,People,No
2016/11/07 12:59:29 PM EST,Chemical Engineering,Female,4,Yes,Construction,Solar Panels,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a manufacturing facility,Protective Clothing,Work for a large corporation,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the inputs and outputs of the system,Listen,Multidisciplinary team,Continuously change and update requirements as you go,Health,Five years from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Technology,People,Yes
2016/11/07 1:57:07 PM EST,Chemical Engineering,Female,Alumni,Yes,Manufacturing,Solar Panels,"Elon Musk, Founder of Tesla",In a manufacturing facility,Extremely Casual,Work for a large corporation,I can see function and tangibly touch the parts,Blue prints and design drawings,By analyzing the inputs and outputs of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,Five years from now,A factory that is able to 100% rely on robotics while producing no defected products,Life Science,People,Yes
2016/11/07 2:14:57 PM EST,Chemical Engineering,Female,4,Yes,Manufacturing,Penicillin,"Elon Musk, Founder of Tesla",In a manufacturing facility,Protective Clothing,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Graphs and charts,By analyzing the inputs and outputs of the system,Read,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,Five years from now,A factory that is able to 100% rely on robotics while producing no defected products,Physics,Business Processes,Yes
2016/11/07 3:05:36 PM EST,Chemical Engineering,Female,1,Yes,Manufacturing,Solar Panels,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Test results,By talking to the people who use the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,A week from now,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Life Science,People,Yes
2016/11/07 3:18:36 PM EST,Chemical Engineering,Female,3,Yes,Manufacturing,Penicillin,"Mark Zuckerberg, Founder of Facebook",In a manufacturing facility,Business Casual,Work for a large corporation,I can see function and tangibly touch the parts,Test results,By analyzing the design and implementation of the system,Read,Focused team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,One year from now,A factory that is able to 100% rely on robotics while producing no defected products,Technology,Machinery,Yes
2016/11/07 4:35:07 PM EST,Chemical Engineering,Female,2,Yes,Research,Penicillin,"Elon Musk, Founder of Tesla",In a laboratory,Extremely Casual,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Blue prints and design drawings,By talking to the people who use the system,Listen,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,One year from now,A new way to deal with movement in the Earth’s surface to protect buildings from earthquakes,Life Science,People,Yes
